timestamp,phase,window_size,probation_size,protected_size,max_window,max_protected,admissions,rejections,direct_evictions,promotions,avg_freq_win,avg_freq_prob,avg_freq_prot,sketch_resets,eviction_calls,climb_step,climb_hr,climb_hr_change,climb_inc,climb_dec
1775459179,zipf_0.8,2823.000000,16823.000000,79717.000000,2809.000000,80155.000000,105836,63391,259416,118001,3.440000,1.656000,3.646000,6,261334,983.590000,0.904427,0.397665,4,2
1775459194,zipf_0.2,3005.000000,16543.000000,69504.000000,2724.000000,73007.000000,185089,453147,620068,119888,2.488000,2.303000,3.332000,8,623913,892.040000,0.438269,0.017847,6,3
1775459209,zipf_0.2,4801.000000,14161.000000,73327.000000,3633.000000,74661.000000,292598,1169515,769113,130160,2.669000,3.363000,1.660000,11,772931,-839.580912,0.463915,-0.005899,7,4
1775459224,zipf_0.2,2965.000000,14451.000000,69266.000000,2810.000000,70440.000000,372001,1656642,1163616,139284,2.695000,2.577000,1.878000,14,1169679,-790.206837,0.468069,-0.003136,8,6
1775459239,zipf_0.2,4066.000000,13851.000000,70238.000000,3553.000000,72104.000000,470020,2140669,1539814,149064,2.823000,3.381000,1.592000,17,1549067,743.736354,0.478274,0.008151,10,7
1775459254,zipf_0.2,4495.000000,13952.000000,68732.000000,2824.000000,69597.000000,548481,2658589,1908652,158332,2.719000,3.803000,1.262000,20,1916541,-699.998706,0.471635,-0.000232,11,9
1775459270,zipf_0.2,6489.000000,13812.000000,69719.000000,3482.000000,71132.000000,622223,3048256,2383849,167162,4.526000,5.648000,1.738000,23,2396089,658.833182,0.487631,0.017558,13,10
1775459285,zipf_0.2,3605.000000,15861.000000,70112.000000,2177.000000,70232.000000,691883,3501619,2816679,176414,2.904000,2.977000,2.040000,25,2828387,-632.743388,0.470884,0.001968,13,12
1775459300,zipf_0.2,5336.000000,16597.000000,68742.000000,2772.000000,69336.000000,772929,3914142,3280006,185818,2.888000,3.183000,1.830000,28,3294178,595.533015,0.470904,0.000263,15,13
1775459315,zipf_0.2,2285.000000,15983.000000,69928.000000,2212.000000,70927.000000,853661,4381178,3688483,195126,2.903000,3.031000,1.530000,31,3702576,-560.510910,0.478168,0.010755,16,15
1775459330,zipf_0.2,2690.000000,16312.000000,68708.000000,1686.000000,69692.000000,931442,4769363,4170234,204395,2.747000,3.129000,1.404000,34,4186071,-527.548384,0.479898,0.008438,17,17
