timestamp,window_size,probation_size,protected_size,max_window,max_protected,admissions,rejections,direct_evictions,promotions,avg_freq_win,avg_freq_prob,avg_freq_prot,sketch_resets,eviction_calls
1775424422,46.000000,74081.000000,725.000000,1.000000,722.000000,119769,91812,522505,1135735,4.813097,5.114000,6.789474,7,564284
1775424452,907.000000,72252.000000,5.000000,722.000000,1.000000,214614,302110,1694701,1394120,2.970549,3.944000,7.000000,13,1876132
1775424482,1025.000000,72968.000000,193.000000,722.000000,1.000000,307053,506282,2880384,1650047,4.090175,2.644000,7.000000,18,3202399
1775424513,875.000000,72628.000000,252.000000,722.000000,1.000000,378714,659629,4098847,1914144,2.992000,4.026000,6.783784,24,4579182
1775424543,1.000000,73538.000000,1126.000000,1.000000,722.000000,430751,775184,5354025,2178526,4.551020,2.660000,6.581000,29,5998588
1775424573,1346.000000,72284.000000,161.000000,722.000000,1.000000,516918,962928,6555205,2424521,2.271186,3.789000,6.058233,35,7343644
1775424603,37.000000,72727.000000,1151.000000,1.000000,722.000000,568264,1073592,7812041,2695456,4.432432,2.619000,6.357000,40,8768595
1775424633,1025.000000,73795.000000,5.000000,722.000000,1.000000,655990,1272918,8992892,2955507,2.622951,3.706000,5.548796,46,10090088
1775424663,13.000000,72284.000000,1162.000000,1.000000,722.000000,711885,1390304,10227734,3238165,3.000000,2.992000,5.678129,51,11488307
1775424693,1229.000000,72923.000000,288.000000,722.000000,1.000000,811098,1616223,11386159,3492131,2.625000,3.614000,5.899000,57,12782271
